package_name,download_count
twilio,1591791
interface-meta,1588576
aioboto3,1588047
quicktions,1586848
h3,1582652
atomicwrites,1578286
stringcase,1577038
aiohttp-retry,1575891
Keras-Applications,1573422
influxdb-client,1568737
acryl-datahub,1566455
azure-mgmt-containerinstance,1565515
rich-click,1559394
apache-airflow-providers-docker,1552360
iso3166,1551807
dask-expr,1545625
pathlib2,1541758
schedule,1538075
python-engineio,1534533
python-socketio,1529177
playwright,1528682
meson-python,1523582
albumentations,1522052
pyproject-metadata,1517936
bashlex,1517326
einops,1517232
pytz-deprecation-shim,1514345
elasticsearch-dsl,1509464
cloudformation-cli,1507749
opentelemetry-instrumentation-flask,1507413
teradatasql,1505847
apache-airflow-providers-amazon,1505734
hdfs,1504540
cloudformation-cli-java-plugin,1500734
cloudformation-cli-python-plugin,1500643
cloudformation-cli-go-plugin,1500301
cloudformation-cli-typescript-plugin,1499765
mypy-boto3-dynamodb,1497246
json-merge-patch,1496147
fabric,1493132
azure-kusto-ingest,1492613
microsoft-kiota-http,1492232
types-toml,1491709
cssselect2,1489489
PyMuPDF,1488364
webargs,1487113
posthog,1475443
geventhttpclient,1474490
httpx-sse,1465183
pyelftools,1464209
altgraph,1464087
Rx,1463632
nvidia-cublas-cu11,1463361
eth-account,1462934
simple-websocket,1459016
ldap3,1458821
biopython,1458127
ghp-import,1456690
ipdb,1451297
addict,1448316
azure-mgmt-compute,1446688
stripe,1444040
python-editor,1441800
requests-cache,1440857
futures,1439559
snowflake-snowpark-python,1439505
sklearn,1436414
pathvalidate,1434937
javaproperties,1434060
oldest-supported-numpy,1433111
opentelemetry-instrumentation-dbapi,1431208
nvidia-cudnn-cu11,1429844
pyinstaller,1429132
f90nml,1427711
google-cloud,1427125
pyyaml-env-tag,1424099
torchaudio,1410833
azure-keyvault-certificates,1410188
tensorboardX,1405461
binaryornot,1405166
magicattr,1401867
yfinance,1400384
autoflake,1398849
xyzservices,1392163
mypy-boto3-sqs,1387966
latexcodec,1386820
firebase-admin,1385829
apprise,1385190
fakeredis,1384508
formulaic,1383873
pytest-env,1383195
pybtex,1376441
constructs,1372845
asyncssh,1371778
filterpy,1370699
opentelemetry-instrumentation-urllib,1368254
recordlinkage,1368084
nvidia-cuda-runtime-cu11,1367863
tk,1367720
griffe,1364761
apache-airflow-providers-smtp,1362727
strictyaml,1362298
nvidia-cuda-nvrtc-cu11,1361863
azure-eventhub,1360403
opentelemetry-instrumentation-urllib3,1359985
pyRFC3339,1357092
langdetect,1355331
click-option-group,1355296
nose2,1344265
azure-mgmt-network,1343988
optree,1343525
pydantic-extra-types,1343052
dynaconf,1341366
bitstring,1340905
azure-graphrbac,1340607
azure-mgmt-authorization,1338563
eth-keys,1336241
pyarrow-hotfix,1335783
fiona,1334667
atlassian-python-api,1333603
lasio,1333063
anthropic,1332220
ddsketch,1329151
openlineage-integration-common,1328373
aiohttp-cors,1326986
astral,1325372
gradio-client,1325307
apache-airflow-providers-common-io,1324493
azure-mgmt-keyvault,1324390
terminaltables,1323166
minio,1323067
bump2version,1317048
pytest-benchmark,1313721
ftfy,1312411
pytest-forked,1310612
shortuuid,1307177
pytest-randomly,1305726
install-jdk,1305519
pipx,1304320
grpcio-reflection,1303261
mkdocs-material-extensions,1302565
antlr4-tools,1299334
marshmallow-dataclass,1292068
ipaddress,1289421
bokeh,1288732
jax,1287968
cookiecutter,1287594
face,1286990
pyinstaller-hooks-contrib,1281001
PGPy,1277421
pandera,1277095
dash,1273211
deepmerge,1273179
glom,1270312
mypy-boto3-glue,1270270
pydata-sphinx-theme,1269066
yandexcloud,1265994
django-extensions,1261675
mypy-boto3-lambda,1261622
objsize,1260276
opentelemetry-instrumentation-psycopg2,1255968
parse-type,1255603
igraph,1254451
qrcode,1253633
patchelf,1252441
osqp,1249766
openlineage-python,1245605
mmcif,1244647
azure-devops,1242581
python-jenkins,1235068
facebook-business,1234633
daff,1231642
namex,1230570
sqlalchemy-redshift,1229911
xlwt,1228644
opentelemetry-instrumentation-django,1225499
pytest-sugar,1223960
cloudevents,1223871
llama-parse,1222465
plumbum,1221829
myst-parser,1219252
pathlib-abc,1219154
nox,1217430
