target_pkg,confuser_pkgs
attrs-mate,mate
attrs,attr.s;aptrs;attis;uttrs;asttrs;xattrs;attrd;atts;attres;attrz;nattrs;mattrs
atypes,ptypes;xtypes;btypes;vtypes;astypes;stypes;ktypes;etypes;mtypes;qtypes;dtypes;wtypes
audiomentations,
audioop-lts,lts
audioread,
auditwheel,
augmax,
aurora-data-api,auroraapi
auth0-python,auth-python
authcaptureproxy,
AuthEncoding,
Authlib,athlib;autolib;authlit
authzed,authzee
auto-gpt-plugin-template,
auto-gptq,gptq
auto-py-to-exe,
autoawq-kernels,
autoawq,
autobahn,autoban
autobean-refactor,autobean;refactor
autocommand,
autodoc-pydantic,autodoc
autodocsumm,
autodynatrace,
autoevals,
autofaiss,
autofaker,autofake
autoflake,autoflake8;autofake
autogluon.cloud,cloud
autogluon.common,common
autogluon.core,
autogluon.features,features
autogluon.multimodal,multimodal
autogluon.mxnet,
autogluon.tabular,tabular
autogluon.text,
autogluon.timeseries,timeseries
autogluon,
autogluon.vision,vision
autograd-gamma,gamma
autograd,autorad;autogram
Autologging,
Automat,automap;automa;auromat;automan;automait;automata;autocat;automath;automate;autosat
automaton,automathon;automation;automator
autopage,autopager;autopahe
autopep8,
autoprotocol,
autoray,autorad;autora;autorag
AutoROM,autorok;autoroc;autorm
autosar-data,autosar;data
autosemver,auto-semver;autoserver
autotrain-advanced,
autots,autotx;autota;auto-ts;autotst;automs;autotm;autotds;autoth;autojs;autods;autotsk;autogs
autovizwidget,autovizwidget3
autowrapt,autowrap
av,ae;ah;as;ava;ay;hav;ag;avc;nv;v;kv;avm;rav;xv;hv;av2;ave;an;aq;at;rv;bv;ab;avk;va;yav;avt;ov;avx;lv;ayv;sav;a2;a5;ax;a8;ac;yv;iv;af;avd;ai;aw;vv;az;mav;aiv;alv;sv;cv;jav;akv;a;pv;aj;ap;mv;ad;ao;ar;zv;jv;au;qav;aav;avn;wv;arv;nav;avs;a4;avg;tv;av3;dv
avalara,
averbis-python-api,
avro-gen,gen
avro-gen3,gen3
avro-python3,
avro-validator,validator
avro,avro-py;aero;mavro;avro.py;avio;arvo;afro;avroc;uavro;akro;avrox;acro;cavro
awacs,atacs
awesomeversion,
awkward-cpp,cpp
awkward,awkward1
awkward0,awkward1
aws-assume-role-lib,aws-assume-role
aws-cdk-lib,awslib;cdk-lib
aws-cdk.asset-awscli-v1,aws-cdk-asset-awscli-v1;aws-cdk.asset-awscli-v2
aws-cdk.asset-kubectl-v20,aws-cdk-asset-kubectl-v20;aws-cdk.asset-kubectl-v21;aws-cdk.asset-kubectl-v22
aws-cdk.asset-node-proxy-agent-v5,
aws-cdk.asset-node-proxy-agent-v6,aws-cdk-asset-node-proxy-agent-v6
aws-cdk.assets,
aws-cdk.aws-acmpca,
aws-cdk.aws-amplify-alpha,aws-cdk-aws-amplify-alpha;aws-cdk.aws-amplify
aws-cdk.aws-apigateway,
aws-cdk.aws-apigatewayv2-alpha,aws-cdk.aws-apigatewayv2
aws-cdk.aws-apigatewayv2-integrations-alpha,aws-cdk.aws-apigatewayv2-integrations
aws-cdk.aws-applicationautoscaling,
aws-cdk.aws-autoscaling-common,
aws-cdk.aws-autoscaling-hooktargets,
aws-cdk.aws-autoscaling,
aws-cdk.aws-batch-alpha,
aws-cdk.aws-batch,aws-batch
aws-cdk.aws-certificatemanager,
aws-cdk.aws-chatbot,
aws-cdk.aws-cloudformation,aws-cloudformation
aws-cdk.aws-cloudfront,
aws-cdk.aws-cloudwatch,
aws-cdk.aws-codebuild,aws-codebuild
aws-cdk.aws-codecommit,aws-codecommit
aws-cdk.aws-codedeploy,awscodedeploy
aws-cdk.aws-codeguruprofiler,
aws-cdk.aws-codepipeline-actions,
aws-cdk.aws-codepipeline,
aws-cdk.aws-codestarnotifications,
aws-cdk.aws-cognito-identitypool-alpha,aws-cdk.aws-cognito-identitypool;aws-cdk-aws-cognito-identitypool-alpha
aws-cdk.aws-cognito,
aws-cdk.aws-dynamodb,
aws-cdk.aws-ec2,aws-ec2
aws-cdk.aws-ecr-assets,
aws-cdk.aws-ecr,aws-cdk.aws-emr;awsecr
aws-cdk.aws-ecs,awsecs;aws-cdk.aws-eks
aws-cdk.aws-efs,aws-cdk.aws-eks
aws-cdk.aws-elasticloadbalancing,
